"id","code","name","parent_id:id","sign"
"tax_code_ru_root","","Налоги РФ","","0"
"tax_code_ru_1","VAT","НДС","tax_code_ru_root","1"
"tax_code_ru_1_1","VATin","НДС входящий","tax_code_ru_1","1"
"tax_code_ru_1_2","VATout","НДС исходящий","tax_code_ru_1","1"
"tax_code_ru_2","Acc","Акцизы","tax_code_ru_root","1"
"tax_code_ru_3","NDFL","НДФЛ","tax_code_ru_root","1"
"tax_code_ru_4","STRAH","Страховые взносы","tax_code_ru_root","1"
"tax_code_ru_5","","Налог на прибыль","tax_code_ru_root","1"
"tax_code_ru_6","","Сборы","tax_code_ru_root","1"
"tax_code_ru_7","","Водный налог","tax_code_ru_root","1"
"tax_code_ru_8","","Государственная пошлина","tax_code_ru_root","1"
"tax_code_ru_9","","НДПИ","tax_code_ru_root","1"
"tax_code_ru_10","","УСНО","tax_code_ru_root","1"
"tax_code_ru_11","","ЕНВД","tax_code_ru_root","1"
"tax_code_ru_12","","Транспортный налог","tax_code_ru_root","1"
"tax_code_ru_13","","Налог на игорный бизнес","tax_code_ru_root","1"
"tax_code_ru_14","","Налог на имущество организации","tax_code_ru_root","1"
"tax_code_ru_15","","Земельный налог","tax_code_ru_root","1"
